tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***61137,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0212,NR,37 DE JONG ST,,,ON
***92373,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0212,NR,180 GLEN PARK AVE,,,ON
***60371,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0213,NR,23 CARIBOU RD,,,ON
***61138,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0213,NR,34 DE JONG ST,,,ON
***69014,20180101,3,PARK ON PRIVATE PROPERTY,30,0213,AT,12 YORK ST,,,ON
***73042,20180101,3,PARK ON PRIVATE PROPERTY,30,0213,AT,50 LYNN WILLIAMS ST,,,ON
***92374,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0213,NR,157 GLEN PARK AVE,,,ON
***73043,20180101,3,PARK ON PRIVATE PROPERTY,30,0214,AT,50 LYNN WILLIAMS ST,,,ON
***60372,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0215,NR,76 KIMBARK BLVD,,,ON
***61139,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0215,NR,27 KAWNEER TER,,,ON
***69015,20180101,3,PARK ON PRIVATE PROPERTY,30,0215,AT,12 YORK ST,,,ON
***73044,20180101,3,PARK ON PRIVATE PROPERTY,30,0216,AT,50 LYNN WILLIAMS ST,,,ON
***73045,20180101,3,PARK ON PRIVATE PROPERTY,30,0216,AT,50 LYNN WILLIAMS ST,,,ON
***92375,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0216,NR,19 GLEN PARK AVE,,,ON
***37195,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0217,NR,7 YATESBURY RD,,,NM
***61140,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0217,OPP,26 ZEZEL WAY,,,ON
***69016,20180101,3,PARK ON PRIVATE PROPERTY,30,0217,AT,12 YORK ST,,,ON
***73046,20180101,3,PARK ON PRIVATE PROPERTY,30,0217,AT,50 LYNN WILLIAMS ST,,,ON
***73047,20180101,3,PARK ON PRIVATE PROPERTY,30,0218,AT,50 LYNN WILLIAMS ST,,,ON
***92376,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0218,NR,596 GLENGROVE AVE,,,ON
***37196,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0219,NR,208 PINEWAY BLVD,,,ON
***69017,20180101,3,PARK ON PRIVATE PROPERTY,30,0219,AT,12 YORK ST,,,ON
***73048,20180101,3,PARK ON PRIVATE PROPERTY,30,0219,AT,50 LYNN WILLIAMS ST,,,ON
***92377,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0219,NR,596 GLENGROVE AVE,,,ON
***69018,20180101,3,PARK ON PRIVATE PROPERTY,30,0220,AT,12 YORK ST,,,ON
***73049,20180101,3,PARK ON PRIVATE PROPERTY,30,0220,AT,50 LYNN WILLIAMS ST,,,ON
***73050,20180101,3,PARK ON PRIVATE PROPERTY,30,0220,AT,50 LYNN WILLIAMS ST,,,ON
***92378,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0220,NR,602 GLENGROVE AVE,,,ON
***92379,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0220,NR,602 GLENGROVE AVE,,,ON
***60373,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0221,NR,120 CARIBOU RD,,,QC
***49459,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0222,NR,102 MOBERLY AVE,,,ON
***69019,20180101,3,PARK ON PRIVATE PROPERTY,30,0222,AT,12 YORK ST,,,ON
***73051,20180101,3,PARK ON PRIVATE PROPERTY,30,0222,AT,50 LYNN WILLIAMS ST,,,ON
***83522,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0222,NR,42 WIGMORE DR,,,ON
***92380,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0222,NR,637 GLENGROVE AVE,,,ON
***37197,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0223,NR,11 REIBER CRES,,,ON
***73052,20180101,3,PARK ON PRIVATE PROPERTY,30,0223,AT,50 LYNN WILLIAMS ST,,,ON
***83523,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0223,NR,55 WIGMORE DR,,,ON
***37198,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0224,NR,11 REIBER CRES,,,ON
***37199,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0224,NR,11 REIBER CRES,,,ON
***69020,20180101,3,PARK ON PRIVATE PROPERTY,30,0224,AT,12 YORK ST,,,NY
***92381,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0224,NR,18 FRASERWOOD AVE,,,ON
***92541,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0224,W/S,UPWOOD AVE,S/O,QUEEN'S DR,ON
***36230,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0225,NR,81 MOBERLY AVE,,,ON
***37200,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,NR,11 REIBER CRES,,,ON
***60374,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,W/S,GLEN RUSH BLVD,N/O,SHELBORNE AVE,ON
***73053,20180101,3,PARK ON PRIVATE PROPERTY,30,0225,AT,50 LYNN WILLIAMS ST,,,WV
***83524,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,NR,62 WIGMORE DR,,,ON
***83525,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,NR,67 WIGMORE DR,,,ON
***92382,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,NR,18 FRASERWOOD AVE,,,ON
***92542,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0225,W/S,UPWOOD AVE,S/O,QUEEN'S DR,ON
***73054,20180101,3,PARK ON PRIVATE PROPERTY,30,0226,AT,50 LYNN WILLIAMS ST,,,ON
***83526,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0226,NR,67 WIGMORE DR,,,ON
***92383,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0226,NR,18 FRASERWOOD AVE,,,ON
***60375,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0227,NR,54 SHELBORNE AVE,,,ON
***69021,20180101,3,PARK ON PRIVATE PROPERTY,30,0227,AT,12 YORK ST,,,ON
***92384,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0227,NR,6 FRASERWOOD AVE,,,ON
***92543,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0227,NR,38 UPWOOD AVE,,,ON
***84589,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0228,NR,165 GEOFFREY ST,,,ON
***92544,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0228,NR,38 UPWOOD AVE,,,ON
***98660,20180101,3,PARK ON PRIVATE PROPERTY,30,0228,AT,2645 JANE ST,,,ON
***32233,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0229,NR,3 BELPER CRT,,,ON
***73055,20180101,3,PARK ON PRIVATE PROPERTY,30,0229,AT,50 LYNN WILLIAMS ST,,,ON
***92545,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0229,OPP,58 UPWOOD AVE,,,ON
***92546,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0229,OPP,58 UPWOOD AVE,,,ON
***92385,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0230,NR,77 DELL PARK AVE,,,ON
***73056,20180101,3,PARK ON PRIVATE PROPERTY,30,0231,AT,50 LYNN WILLIAMS ST,,,ON
***92386,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0231,NR,71 DELL PARK AVE,,,NJ
***92387,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0231,NR,70 DELL PARK AVE,,,QC
***32234,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0232,NR,7 BIGGIN CRT,,,ON
***48725,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0232,OPP,1115 LODESTAR RD,,,ON
***64247,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0232,NR,26 MAYNARD AVE,,,ON
***92547,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0232,NR,36 QUEEN'S DR,,,ON
***92388,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0233,NR,30 DELL PARK AVE,,,ON
***92548,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0233,N/S,QUEEN'S DR,E/O,JANE ST,ON
***84590,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0234,NR,308 SORAUREN AVE,,,ON
***92389,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0234,NR,23 DELL PARK AVE,,,ON
***92390,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0234,NR,23 DELL PARK AVE,,,ON
***60376,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0235,NR,54 ALEXANDRA WOOD,,,ON
***61141,20180101,3,PARK ON PRIVATE PROPERTY,30,0235,AT,3231 EGLINTON AVE E,,,ON
***64248,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0235,NR,22 MAYNARD AVE,,,ON
***64249,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0236,NR,20 MAYNARD AVE,,,ON
***92391,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0236,NR,4 MADOC DR,,,ON
***92549,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0236,N/S,MARSHLYNN AVE,E/O,JANE ST,ON
***69022,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0237,NR,30 GRAND TRUNK CRES,,,ON
***92392,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0237,NR,159 DALEMOUNT AVE,,,ON
***92550,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0238,E/S,SONNET CRT,N/O,MARSHLYNN AVE,ON
***32235,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0239,NR,100 ROWENA DR,,,ON
***60377,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0239,NR,463 LYTTON BLVD,,,ON
***69023,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0239,NR,30 GRAND TRUNK CRES,,,ON
***84591,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0239,NR,133 MARION ST,,,ON
***32236,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0240,NR,100 ROWENA DR,,,ON
***60378,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0240,NR,463 LYTTON BLVD,,,ON
***69024,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0240,NR,30 GRAND TRUNK CRES,,,ON
***92393,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0240,NR,125 SHELBORNE AVE,,,ON
***92551,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0240,E/S,HEARNE AVE,S/O,MARSHLYNN AVE,ON
***32237,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0241,NR,70 ROWENA DR,,,ON
***92552,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0242,N/S,EVERGLADES DR,E/O,HEARNE AVE,ON
***71738,20180101,3,PARK ON PRIVATE PROPERTY,30,0243,AT,38 GRAND MAGAZINE ST,,,ON
***83527,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0243,NR,2 WELSFORD GDNS,,,ON
***48726,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0244,NR,107 COCKSFIELD AVE,,,ON
***83528,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0244,NR,16 WELSFORD GDNS,,,ON
***84592,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0244,NR,12 SORAUREN AVE,,,ON
***36231,20180101,3,PARK ON PRIVATE PROPERTY,30,0245,AT,235 BLOOR ST E,,,ON
***83529,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0245,NR,16 WELSFORD GDNS,,,ON
***49460,20180101,3,PARK ON PRIVATE PROPERTY,30,0246,AT,235 BLOOR ST E,,,ON
***60379,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0246,NR,240 STRATHALLAN BLVD,,,ON
***74591,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0246,OPP,62 GOUGH AVE,,,ON
***83530,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0246,NR,20 WELSFORD GDNS,,,ON
***83531,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0246,NR,20 WELSFORD GDNS,,,ON
***83532,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0246,NR,20 WELSFORD GDNS,,,ON
***36232,20180101,3,PARK ON PRIVATE PROPERTY,30,0247,AT,235 BLOOR ST E,,,ON
***60380,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0247,NR,240 STRATHALLAN WOOD,,,ON
***73057,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0247,E/S,HANNA AVE,N/O,EAST LIBERTY ST,ON
***83533,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0247,NR,30 WELSFORD GDNS,,,ON
***92394,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0247,NR,70 CORK AVE,,,ON
***98661,20180101,3,PARK ON PRIVATE PROPERTY,30,0247,AT,31 FOUR WINDS DR,,,ON
***37201,20180101,3,PARK ON PRIVATE PROPERTY,30,0248,AT,1700 EGLINTON AVE E,,,ON
***83534,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0248,NR,30 WELSFORD GDNS,,,ON
***83535,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0248,NR,30 WELSFORD GDNS,,,ON
***98662,20180101,3,PARK ON PRIVATE PROPERTY,30,0248,AT,31 FOUR WINDS DR,,,ON
***37202,20180101,3,PARK ON PRIVATE PROPERTY,30,0249,AT,1700 EGLINTON AVE E,,,ON
***83536,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0249,NR,40 WELSFORD GDNS,,,ON
***83537,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0250,NR,40 WELSFORD GDNS,,,ON
***98663,20180101,3,PARK ON PRIVATE PROPERTY,30,0250,AT,25 FOUR WINDS DR,,,ON
***37203,20180101,3,PARK ON PRIVATE PROPERTY,30,0251,AT,1700 EGLINTON AVE E,,,ON
***83538,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0251,NR,40 WELSFORD GDNS,,,ON
***92395,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0251,OPP,16 ELWAY CRT,,,ON
***98664,20180101,3,PARK ON PRIVATE PROPERTY,30,0251,AT,25 FOUR WINDS DR,,,ON
***98665,20180101,3,PARK ON PRIVATE PROPERTY,30,0251,AT,25 FOUR WINDS DR,,,ON
***37204,20180101,3,PARK ON PRIVATE PROPERTY,30,0252,AT,1700 EGLINTON AVE E,,,ON
***60381,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0252,NR,55 SAGUENAY AVE,,,ON
***92396,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0252,OPP,20 ELWAY CRT,,,ON
***98666,20180101,3,PARK ON PRIVATE PROPERTY,30,0252,AT,25 FOUR WINDS DR,,,ON
***92397,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0253,NR,32 ELWAY CRT,,,ON
***98667,20180101,3,PARK ON PRIVATE PROPERTY,30,0253,AT,25 FOUR WINDS DR,,,ON
***98668,20180101,3,PARK ON PRIVATE PROPERTY,30,0253,AT,25 FOUR WINDS DR,,,ON
***98669,20180101,3,PARK ON PRIVATE PROPERTY,30,0254,AT,25 FOUR WINDS DR,,,ON
***98670,20180101,3,PARK ON PRIVATE PROPERTY,30,0254,AT,25 FOUR WINDS DR,,,ON
***92398,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0256,OPP,686 GLENGROVE AVE,,,ON
***92399,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0258,NR,741 GLENGROVE AVE,,,ON
***92400,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0259,NR,741 GLENGROVE AVE,,,ON
***92401,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0301,NR,409 GLEN PARK AVE,,,ON
***48727,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0303,NR,414 KENNETH AVE,,,ON
***92402,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0303,NR,300 HILLMOUNT AVE,,,ON
***48728,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0304,NR,377 KENNETH AVE,,,ON
***92403,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0304,NR,290 HILLMOUNT AVE,,,ON
***60382,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0305,NR,278 DAWLISH AVE,,,ON
***25537,20180101,3,PARK ON PRIVATE PROPERTY,30,0306,,4700 JANE ST,,,ON
***48729,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0306,OPP,369 KENNETH AVE,,,ON
***60383,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0308,NR,40 STRATHEDEN RD,,,ON
***92404,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0308,NR,20 STEVEN AVE,,,ON
***32238,20180101,3,PARK ON PRIVATE PROPERTY,30,0309,AT,25 SILVER SPRINGS BLVD,,,ON
***92405,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0310,OPP,40 LILYWOOD RD,,,ON
***92406,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0310,OPP,40 LILYWOOD RD,,,ON
***25538,20180101,3,PARK ON PRIVATE PROPERTY,30,0311,,4700 JANE ST,,,ON
***69025,20180101,3,PARK ON PRIVATE PROPERTY,30,0311,AT,14 YORK ST,,,ON
***66693,20180101,3,PARK ON PRIVATE PROPERTY,30,0312,,45 JAMESTOWNE CRES,,,ON
***48730,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0312,N/S,MCKEE AVE,E/O,DORIS AVE,ON
***60384,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0314,NR,19 BLYTH HILL RD,,,ON
***49461,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0315,OPP,19 LEE AVE,,,ON
***60385,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0315,NR,19 BLYTH HILL RD,,,ON
***74592,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0315,NR,80 FERRIER AVE,,,ON
***49462,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0316,OPP,41 LEE AVE,,,ON
***36233,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0317,OPP,55 LEE AVE,,,ON
***60386,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0317,NR,33 BLYTH HILL RD,,,ON
***74593,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0317,NR,108 FERRIER AVE,,,ON
***84593,20180101,3,PARK ON PRIVATE PROPERTY,30,0317,AT,625 RUNNYMEDE RD,,,ON
***48731,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0318,NR,144 OLIVE AVE,,,ON
***92407,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0319,NR,28 RISA BLVD,,,ON
***49463,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0321,NR,82 LEUTY AVE,,,ON
***60387,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0321,NR,36 SUNNYDENE CRES,,,ON
***92408,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0321,NR,435 GLEN PARK AVE,,,ON
***92409,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0322,NR,435 GLEN PARK AVE,,,ON
***92410,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0323,NR,479 GLEN PARK AVE,,,ON
***36234,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0324,NR,36 ALFRESCO LWN,,,ON
***92411,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0324,NR,487 GLEN PARK AVE,,,ON
***50168,20180101,3,PARK ON PRIVATE PROPERTY,30,0325,,3 MICHAEL POWER PLACE,,,ON
***36950,20180101,3,PARK ON PRIVATE PROPERTY,30,0325,,10 TAPSCOTT ROAD,,,ON
***49464,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0326,NR,52 WINEVA AVE,,,ON
***60388,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0326,NR,50 GLENAVY AVE,,,ON
***92412,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0326,NR,1075 GLENCAIRN AVE,,,ON
***36235,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0327,NR,70 WINEVA AVE,,,ON
***92413,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0327,NR,1105 GLENCAIRN AVE,,,ON
***50169,20180101,3,PARK ON PRIVATE PROPERTY,30,0330,,3 MICHAEL POWER PLACE,,,ON
***84594,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0330,AT,21 KENNEDY PARK RD,,,ON
***92414,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0330,NR,574 GLEN PARK AVE,,,ON
***98671,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0330,NR,29 TREELAWN PKWY,,,ON
***98672,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0330,NR,29 TREELAWN PKWY,,,ON
***74594,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0331,OPP,66 GOUGH AVE,,,ON
***92415,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0331,NR,589 GLEN PARK AVE,,,ON
***48732,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0332,NR,22 GUSTAV CRES,,,QC
***49465,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0332,NR,59 HAMMERSMITH AVE,,,ON
***36236,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0333,NR,51 HAMMERSMITH AVE,,,ON
***92416,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0333,NR,1152 GLENGROVE AVE,,,ON
***98673,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0333,NR,67 TREELAWN PKWY,,,ON
***79949,20180101,4,PARK ON MUNICIPAL PROPERTY,30,0334,,100 PRINCES' BLVD,,,ON
***50170,20180101,3,PARK ON PRIVATE PROPERTY,30,0335,,3 MICHAEL POWER PLACE,,,ON
***84595,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0335,AT,20 ROWLAND ST,,,ON
***98674,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0336,NR,19 DUVAL DR,,,ON
***84596,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0337,NR,32 ROWLAND ST,,,ON
***92417,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0337,NR,23 MARIANFELD AVE,,,ON
***96831,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0337,NR,107 TWENTY FOURTH ST,,,ON
***84597,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0339,NR,26 ROWLAND ST,,,ON
***36237,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0340,W/S,HAMMERSMITH AVE,S/O,HUBBARD BLVD,ON
***48733,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0340,NR,270 SPRING GARDEN AVE,,,ON
***84598,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0341,NR,22 ROWLAND ST,,,ON
***98675,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0342,NR,540 RUSTIC RD,,,ON
***37205,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0343,NR,25 MENTOR BLVD,,,ON
***98676,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0343,NR,5 BLANDORMAN RD,,,ON
***37206,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0344,NR,25 MENTOR BLVD,,,QC
***49466,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0345,NR,10 AVION AVE,,,ON
***84599,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0345,NR,202 MEDLAND ST,,,ON
***37207,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0346,NR,25 MENTOR BLVD,,,ON
***69026,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0346,NR,25 ST MARY ST,,,ON
***36238,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0347,W/S,11 AVION AVE,,,ON
***49467,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0348,NR,1 AVION AVE,,,ON
***69027,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0348,NR,25 ST MARY ST,,,ON
***96832,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0348,NR,24 NORRIS CRES,,,ON
***98677,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0349,NR,81 MACLEOD ST,,,NY
***36239,20180101,336,PARK-FAIL TO DISPLAY PERMIT,30,0350,NR,51 GLEN MANOR DR,,,ON
***84600,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0350,NR,157 VINE AVE,,,ON
***96833,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0350,NR,20 NORRIS CRES,,,ON
***49468,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0351,NR,47 GLEN MANOR DR,,,ON
***96834,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0351,NR,20 NORRIS CRES,,,ON
***36240,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0352,NR,15 BONFIELD AVE,,,ON
***98678,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0352,NR,107 JAY ST,,,ON
***48734,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0353,S/S,KEMPFORD BLVD,E/O,BEECROFT RD,ON
***96835,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0353,NR,12 NORRIS CRES,,,ON
***98679,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0353,NR,111 JAY ST,,,ON
***49469,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0354,OPP,12 BONFIELD AVE,,,ON
***96836,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0354,NR,12 NORRIS CRES,,,ON
***48735,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0356,S/S,LORRAINE AVE,E/O,BEECROFT RD,ON
***98680,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0356,NR,5 MACLEOD ST,,,ON
